Date,Open,High,Low,Close,Adj Close,Volume
2009-01-05,92.91029357910156,93.89347076416016,89.46916961669922,92.91029357910156,79.13674926757812,8
2009-01-06,92.91029357910156,111.09908294677734,92.91029357910156,111.09908294677734,94.6291275024414,145908512
2009-01-07,117.9813232421875,127.81310272216797,105.69160461425781,117.9813232421875,100.4911117553711,8
2009-01-08,117.9813232421875,117.9813232421875,110.60749053955078,117.9813232421875,100.4911117553711,30055603
2009-01-09,117.9813232421875,137.64488220214844,117.9813232421875,135.1869354248047,115.14608001708984,60853697
2009-01-12,140.1028289794922,145.0187225341797,135.1869354248047,140.1028289794922,119.33320617675781,8
2009-01-13,132.72898864746094,142.56077575683594,132.72898864746094,132.72898864746094,113.05252838134766,8
2009-01-14,135.1869354248047,140.1028289794922,120.43927001953125,120.43927001953125,102.58468627929688,7559162
2009-01-15,113.06543731689453,117.9813232421875,110.60749053955078,113.06543731689453,96.30399322509766,8
2009-01-16,117.9813232421875,120.43927001953125,115.52338409423828,117.9813232421875,100.4911117553711,8
2009-01-19,120.43927001953125,140.1028289794922,117.9813232421875,130.2710418701172,110.95893859863281,20028932
2009-01-20,120.43927001953125,127.81310272216797,120.43927001953125,120.43927001953125,102.58468627929688,8
2009-01-21,120.43927001953125,122.897216796875,117.9813232421875,120.43927001953125,102.58468627929688,8
2009-01-22,120.43927001953125,130.2710418701172,120.43927001953125,120.43927001953125,102.58468627929688,8
2009-01-23,122.897216796875,125.35516357421875,120.43927001953125,122.897216796875,104.67823791503906,11049884
2009-01-27,125.35516357421875,132.72898864746094,122.897216796875,125.35516357421875,106.77181243896484,8
2009-01-28,122.897216796875,130.2710418701172,120.43927001953125,122.897216796875,104.67823791503906,8
2009-01-29,127.81310272216797,130.2710418701172,122.897216796875,127.81310272216797,108.86538696289062,8
2009-01-30,125.35516357421875,137.64488220214844,125.35516357421875,132.72898864746094,113.05252838134766,32614652
2009-02-02,125.35516357421875,132.72898864746094,125.35516357421875,125.35516357421875,106.77181243896484,8
2009-02-03,125.35516357421875,135.1869354248047,125.35516357421875,132.72898864746094,113.05252838134766,31946411
2009-02-04,132.72898864746094,137.64488220214844,132.72898864746094,132.72898864746094,113.05252838134766,8
2009-02-05,135.1869354248047,135.1869354248047,132.72898864746094,135.1869354248047,115.14608001708984,6701738
